edge1,edge2,anisotropy,dx,diffcoef,ltransition,htransition
1.0,103.0,0.60098,0.73091,1.0,0.0,0.0
103.0,7.0,0.60098,0.73091,1.0,0.0,0.0
1.0,104.0,0.97646,0.50804,1.0,0.0,0.0
104.0,8.0,0.97646,0.50804,1.0,0.0,0.0
1.0,105.0,0.60098,0.73091,1.0,0.0,0.0
105.0,9.0,0.60098,0.73091,1.0,0.0,0.0
1.0,106.0,0.25000,0.50804,1.0,0.0,0.0
106.0,13.0,0.25000,0.50804,1.0,0.0,0.0
1.0,107.0,0.25000,0.50804,1.0,0.0,0.0
107.0,14.0,0.25000,0.50804,1.0,0.0,0.0
1.0,108.0,0.97646,0.50804,1.0,0.0,0.0
108.0,19.0,0.97646,0.50804,1.0,0.0,0.0
2.0,109.0,0.25000,0.51196,1.0,0.0,0.0
109.0,3.0,0.25000,0.51196,1.0,0.0,0.0
2.0,110.0,0.28462,0.51196,1.0,0.0,0.0
110.0,4.0,0.28462,0.51196,1.0,0.0,0.0
2.0,111.0,0.62500,0.70711,1.0,0.0,0.0
111.0,6.0,0.62500,0.70711,1.0,0.0,0.0
2.0,112.0,0.78690,0.59095,1.0,0.0,0.0
112.0,7.0,0.78690,0.59095,1.0,0.0,0.0
2.0,113.0,0.25000,0.70711,1.0,0.0,0.0
113.0,26.0,0.25000,0.70711,1.0,0.0,0.0
2.0,114.0,0.46310,0.59095,1.0,0.0,0.0
114.0,27.0,0.46310,0.59095,1.0,0.0,0.0
3.0,4.0,0.62500,0.31113,1.0,0.0,0.0
3.0,115.0,0.25000,0.51196,1.0,0.0,0.0
115.0,5.0,0.25000,0.51196,1.0,0.0,0.0
3.0,116.0,0.59593,0.73622,1.0,0.0,0.0
116.0,7.0,0.59593,0.73622,1.0,0.0,0.0
3.0,117.0,0.80147,0.58310,1.0,0.0,0.0
117.0,8.0,0.80147,0.58310,1.0,0.0,0.0
4.0,118.0,0.28462,0.51196,1.0,0.0,0.0
118.0,5.0,0.28462,0.51196,1.0,0.0,0.0
4.0,119.0,0.30815,0.73622,1.0,0.0,0.0
119.0,27.0,0.30815,0.73622,1.0,0.0,0.0
4.0,120.0,0.44853,0.58310,1.0,0.0,0.0
120.0,28.0,0.44853,0.58310,1.0,0.0,0.0
5.0,121.0,0.53065,0.81737,1.0,0.0,0.0
121.0,8.0,0.53065,0.81737,1.0,0.0,0.0
5.0,122.0,0.78690,0.59095,1.0,0.0,0.0
122.0,9.0,0.78690,0.59095,1.0,0.0,0.0
5.0,123.0,0.62500,0.70711,1.0,0.0,0.0
123.0,10.0,0.62500,0.70711,1.0,0.0,0.0
5.0,124.0,0.43871,0.81737,1.0,0.0,0.0
124.0,28.0,0.43871,0.81737,1.0,0.0,0.0
