vertices,celtype,loc_x,loc_y,loc_z,state,tcounter,Temp
1.0, 1.0, 52.6, 230.8, 94.8, 5.0, 1.0, 0.40763
2.0, 1.0, 62.9, 237.0, 89.0, 5.0, 1.0, 0.41104
3.0, 1.0, 58.6, 238.2, 84.8, 5.0, 1.0, 0.43470
4.0, 1.0, 29.0, 211.6, 51.6, 5.0, 1.0, 0.36573
5.0, 1.0, 30.4, 214.9, 47.9, 5.0, 1.0, 0.33631
6.0, 1.0, 29.0, 210.8, 47.2, 5.0, 1.0, 0.38029
7.0, 1.0, 84.6, 250.6, 61.7, 5.0, 1.0, 0.36338
8.0, 1.0, 81.6, 256.0, 51.0, 5.0, 1.0, 0.30856
9.0, 1.0, 76.4, 253.0, 55.2, 5.0, 1.0, 0.33989
10.0, 1.0, 63.0, 228.0, 2.1, 5.0, 1.0, 0.53303
11.0, 1.0, 65.0, 227.9, 3.9, 5.0, 1.0, 0.53362
12.0, 1.0, 63.5, 228.5, 4.4, 5.0, 1.0, 0.53217
13.0, 1.0, 33.2, 218.9, 59.0, 5.0, 1.0, 0.30139
14.0, 1.0, 34.5, 220.2, 64.2, 5.0, 1.0, 0.30240
15.0, 1.0, 35.8, 222.5, 59.8, 5.0, 1.0, 0.29510
16.0, 1.0, 52.7, 235.3, 86.6, 5.0, 1.0, 0.43138
17.0, 1.0, 48.2, 232.2, 88.9, 5.0, 1.0, 0.44333
18.0, 1.0, 49.5, 216.7, 14.6, 5.0, 1.0, 0.39162
19.0, 1.0, 54.0, 211.5, 17.2, 5.0, 1.0, 0.37506
20.0, 1.0, 48.0, 212.8, 17.5, 5.0, 1.0, 0.37141
21.0, 1.0, 73.0, 265.3, 47.0, 5.0, 1.0, 0.64513
22.0, 1.0, 71.8, 267.9, 41.7, 5.0, 1.0, 0.48756
23.0, 1.0, 77.3, 267.9, 42.7, 5.0, 1.0, 0.47339
24.0, 1.0, 50.6, 256.9, 24.7, 5.0, 1.0, 0.63824
25.0, 1.0, 44.0, 250.3, 30.0, 5.0, 1.0, 0.67976
26.0, 1.0, 46.9, 253.2, 22.5, 5.0, 1.0, 0.63646
27.0, 1.0, 30.0, 213.7, 64.4, 5.0, 1.0, 0.30946
28.0, 1.0, 52.7, 240.4, 4.7, 5.0, 1.0, 0.41265
29.0, 1.0, 56.1, 236.6, 1.8, 5.0, 1.0, 0.47053
30.0, 1.0, 54.7, 234.5, 5.0, 5.0, 1.0, 0.42151
31.0, 1.0, 79.4, 243.9, 78.1, 5.0, 1.0, 0.37864
32.0, 1.0, 84.6, 244.5, 74.6, 5.0, 1.0, 0.38540
33.0, 1.0, 80.4, 245.2, 74.8, 5.0, 1.0, 0.40592
34.0, 1.0, 41.0, 226.1, 18.9, 5.0, 1.0, 0.36738
35.0, 1.0, 45.1, 229.7, 14.2, 5.0, 1.0, 0.36696
36.0, 1.0, 45.0, 224.1, 14.4, 5.0, 1.0, 0.39591
37.0, 1.0, 86.6, 249.1, 64.0, 5.0, 1.0, 0.38364
38.0, 1.0, 85.2, 248.5, 65.8, 5.0, 1.0, 0.36947
39.0, 1.0, 78.3, 266.9, 39.5, 5.0, 1.0, 0.46368
40.0, 1.0, 37.3, 224.9, 64.0, 5.0, 1.0, 0.32026
41.0, 1.0, 35.9, 222.6, 69.2, 5.0, 1.0, 0.31742
42.0, 1.0, 39.1, 227.7, 68.7, 5.0, 1.0, 0.34064
43.0, 1.0, 67.7, 244.6, 76.9, 5.0, 1.0, 0.42421
44.0, 1.0, 62.3, 244.0, 75.2, 5.0, 1.0, 0.39504
45.0, 1.0, 66.5, 242.2, 81.3, 5.0, 1.0, 0.42566
46.0, 1.0, 50.2, 230.7, 9.3, 5.0, 1.0, 0.36801
47.0, 1.0, 49.3, 226.0, 11.4, 5.0, 1.0, 0.37287
48.0, 1.0, 41.6, 231.4, 18.8, 5.0, 1.0, 0.38322
49.0, 1.0, 61.6, 224.0, 7.9, 5.0, 1.0, 0.43431
50.0, 1.0, 57.5, 224.7, 8.3, 5.0, 1.0, 0.38262
