vertices,celtype,loc_x,loc_y,loc_z,state,tcounter
94.0, 1.0, 56.8, 249.0, 41.2, 5.0, 1.0
95.0, 1.0, 48.2, 242.8, 2.4, 5.0, 1.0
96.0, 1.0, 46.1, 236.9, 2.6, 5.0, 1.0
97.0, 1.0, 41.3, 230.9, 58.2, 5.0, 1.0
98.0, 1.0, 38.6, 226.6, 59.0, 5.0, 1.0
99.0, 1.0, 40.5, 229.2, 63.4, 5.0, 1.0
100.0, 1.0, 54.3, 230.7, 6.7, 5.0, 1.0
101.0, 1.0, 69.5, 251.6, 54.4, 5.0, 1.0
102.0, 1.0, 68.1, 249.9, 59.0, 5.0, 1.0
103.0, 1.0, 73.1, 251.0, 59.8, 5.0, 1.0
104.0, 1.0, 60.7, 241.0, 80.8, 5.0, 1.0
105.0, 1.0, 35.7, 222.2, 91.6, 5.0, 1.0
106.0, 1.0, 43.5, 218.3, 16.2, 5.0, 1.0
107.0, 1.0, 43.0, 210.4, 20.6, 5.0, 1.0
108.0, 1.0, 38.4, 214.7, 21.8, 5.0, 1.0
109.0, 1.0, 72.1, 244.4, 78.5, 5.0, 1.0
110.0, 1.0, 69.8, 254.0, 48.6, 5.0, 1.0
111.0, 1.0, 75.4, 256.1, 48.0, 5.0, 1.0
112.0, 1.0, 45.5, 235.2, 72.4, 5.0, 1.0
113.0, 1.0, 61.0, 227.0, 2.0, 5.0, 1.0
114.0, 1.0, 52.1, 235.2, 1.0, 5.0, 1.0
115.0, 1.0, 49.5, 208.2, 20.3, 5.0, 1.0
116.0, 1.0, 44.8, 203.4, 24.1, 5.0, 1.0
117.0, 1.0, 41.6, 234.4, 40.0, 5.0, 1.0
118.0, 1.0, 54.4, 260.7, 19.9, 5.0, 1.0
119.0, 1.0, 54.4, 238.7, 80.1, 5.0, 1.0
120.0, 1.0, 58.2, 241.8, 76.5, 5.0, 1.0
121.0, 1.0, 55.4, 244.5, 58.6, 5.0, 1.0
122.0, 1.0, 59.0, 245.9, 62.3, 5.0, 1.0
123.0, 1.0, 40.7, 235.2, 34.8, 5.0, 1.0
124.0, 1.0, 37.8, 230.5, 39.0, 5.0, 1.0
125.0, 1.0, 57.8, 262.9, 28.8, 5.0, 1.0
126.0, 1.0, 38.9, 230.6, 23.6, 5.0, 1.0
127.0, 1.0, 37.0, 228.8, 29.2, 5.0, 1.0
128.0, 1.0, 39.7, 234.7, 28.6, 5.0, 1.0
129.0, 1.0, 51.6, 249.6, 5.4, 5.0, 1.0
130.0, 1.0, 50.8, 249.5, 9.8, 5.0, 1.0
131.0, 1.0, 52.4, 253.6, 7.2, 5.0, 1.0
132.0, 1.0, 48.8, 240.2, 9.2, 5.0, 1.0
133.0, 1.0, 37.1, 225.7, 78.4, 5.0, 1.0
134.0, 1.0, 38.1, 226.1, 86.5, 5.0, 1.0
135.0, 1.0, 33.6, 204.4, 31.2, 5.0, 1.0
136.0, 1.0, 32.5, 210.6, 31.7, 5.0, 1.0
137.0, 1.0, 37.6, 207.3, 25.4, 5.0, 1.0
138.0, 1.0, 60.0, 252.6, 37.2, 5.0, 1.0
139.0, 1.0, 55.7, 249.5, 34.7, 5.0, 1.0
140.0, 1.0, 42.3, 245.4, 11.0, 5.0, 1.0
141.0, 1.0, 42.0, 243.3, 9.3, 5.0, 1.0
142.0, 1.0, 44.4, 246.8, 7.7, 5.0, 1.0
143.0, 1.0, 58.4, 260.1, 42.0, 5.0, 1.0
144.0, 1.0, 44.7, 248.9, 10.3, 5.0, 1.0
145.0, 1.0, 37.7, 231.4, 33.4, 5.0, 1.0
146.0, 1.0, 61.3, 252.1, 41.7, 5.0, 1.0
147.0, 1.0, 59.0, 222.1, 9.5, 5.0, 1.0
148.0, 1.0, 54.4, 223.2, 10.0, 5.0, 1.0
149.0, 1.0, 51.4, 246.4, 32.0, 5.0, 1.0
150.0, 1.0, 47.8, 242.5, 34.8, 5.0, 1.0
151.0, 1.0, 52.0, 245.7, 38.0, 5.0, 1.0
152.0, 1.0, 50.4, 221.8, 12.0, 5.0, 1.0
153.0, 1.0, 48.5, 241.3, 40.4, 5.0, 1.0
154.0, 1.0, 48.8, 231.2, 2.0, 5.0, 1.0
155.0, 1.0, 74.7, 246.9, 72.5, 5.0, 1.0
156.0, 1.0, 78.0, 246.5, 73.2, 5.0, 1.0
157.0, 1.0, 78.4, 247.7, 70.2, 5.0, 1.0
158.0, 1.0, 69.0, 268.7, 37.5, 5.0, 1.0
159.0, 1.0, 66.9, 269.7, 31.2, 5.0, 1.0
160.0, 1.0, 31.9, 215.8, 36.5, 5.0, 1.0
161.0, 1.0, 33.6, 217.3, 31.0, 5.0, 1.0
162.0, 1.0, 66.7, 246.0, 72.9, 5.0, 1.0
163.0, 1.0, 29.9, 207.7, 42.1, 5.0, 1.0
164.0, 1.0, 30.7, 214.6, 42.5, 5.0, 1.0
165.0, 1.0, 52.2, 245.3, 2.4, 5.0, 1.0
166.0, 1.0, 40.7, 230.0, 81.2, 5.0, 1.0
167.0, 1.0, 43.8, 233.5, 62.4, 5.0, 1.0
168.0, 1.0, 29.0, 212.3, 54.7, 5.0, 1.0
169.0, 1.0, 31.0, 216.4, 51.8, 5.0, 1.0
170.0, 1.0, 52.2, 244.7, 43.9, 5.0, 1.0
171.0, 1.0, 41.1, 235.6, 22.0, 5.0, 1.0
172.0, 1.0, 55.2, 219.4, 11.9, 5.0, 1.0
173.0, 1.0, 31.0, 210.9, 38.0, 5.0, 1.0
174.0, 1.0, 47.8, 246.7, 4.4, 5.0, 1.0
175.0, 1.0, 45.1, 243.1, 4.8, 5.0, 1.0
176.0, 1.0, 53.5, 259.1, 28.5, 5.0, 1.0
177.0, 1.0, 71.2, 270.0, 33.4, 5.0, 1.0
178.0, 1.0, 46.9, 243.5, 29.0, 5.0, 1.0
179.0, 1.0, 56.1, 245.8, 53.1, 5.0, 1.0
180.0, 1.0, 74.6, 248.2, 68.9, 5.0, 1.0
181.0, 1.0, 49.7, 249.3, 14.9, 5.0, 1.0
182.0, 1.0, 53.2, 252.3, 17.6, 5.0, 1.0
183.0, 1.0, 53.0, 253.1, 12.5, 5.0, 1.0
184.0, 1.0, 33.1, 218.8, 71.1, 5.0, 1.0
185.0, 1.0, 43.1, 240.0, 25.7, 5.0, 1.0
186.0, 1.0, 43.6, 239.3, 31.8, 5.0, 1.0
187.0, 1.0, 33.6, 221.1, 51.5, 5.0, 1.0
188.0, 1.0, 34.5, 221.2, 55.8, 5.0, 1.0
189.0, 1.0, 36.7, 224.8, 55.3, 5.0, 1.0
190.0, 1.0, 48.8, 240.5, 46.0, 5.0, 1.0
191.0, 1.0, 35.1, 213.8, 26.5, 5.0, 1.0
192.0, 1.0, 57.6, 231.0, 4.7, 5.0, 1.0
193.0, 1.0, 44.7, 235.1, 57.1, 5.0, 1.0
194.0, 1.0, 58.0, 233.8, 2.9, 5.0, 1.0
195.0, 1.0, 74.5, 249.5, 64.7, 5.0, 1.0
196.0, 1.0, 39.3, 228.2, 54.0, 5.0, 1.0
197.0, 1.0, 52.2, 243.8, 49.5, 5.0, 1.0
198.0, 1.0, 42.4, 232.4, 52.9, 5.0, 1.0
199.0, 1.0, 46.1, 244.3, 23.1, 5.0, 1.0
200.0, 1.0, 36.4, 225.7, 50.2, 5.0, 1.0
201.0, 1.0, 66.2, 260.0, 32.1, 5.0, 1.0
202.0, 1.0, 67.9, 258.3, 37.5, 5.0, 1.0
203.0, 1.0, 70.8, 262.3, 35.0, 5.0, 1.0
204.0, 1.0, 54.1, 259.2, 33.1, 5.0, 1.0
205.0, 1.0, 67.4, 265.1, 25.4, 5.0, 1.0
206.0, 1.0, 66.0, 268.9, 24.9, 5.0, 1.0
207.0, 1.0, 65.0, 265.9, 19.3, 5.0, 1.0
208.0, 1.0, 46.7, 252.0, 12.1, 5.0, 1.0
209.0, 1.0, 43.5, 249.7, 16.7, 5.0, 1.0
210.0, 1.0, 58.9, 228.9, 5.6, 5.0, 1.0
211.0, 1.0, 45.5, 240.0, 13.9, 5.0, 1.0
212.0, 1.0, 60.7, 265.8, 24.0, 5.0, 1.0
213.0, 1.0, 58.8, 264.0, 18.7, 5.0, 1.0
214.0, 1.0, 64.5, 262.5, 22.9, 5.0, 1.0
215.0, 1.0, 41.9, 225.9, 94.2, 5.0, 1.0
216.0, 1.0, 46.6, 228.0, 94.8, 5.0, 1.0
217.0, 1.0, 58.4, 227.1, 6.7, 5.0, 1.0
218.0, 1.0, 70.7, 248.3, 66.6, 5.0, 1.0
219.0, 1.0, 70.5, 247.1, 70.9, 5.0, 1.0
220.0, 1.0, 43.5, 240.1, 19.5, 5.0, 1.0
221.0, 1.0, 58.9, 253.4, 31.8, 5.0, 1.0
222.0, 1.0, 54.7, 250.4, 29.0, 5.0, 1.0
223.0, 1.0, 39.2, 220.6, 20.4, 5.0, 1.0
224.0, 1.0, 47.1, 237.8, 61.2, 5.0, 1.0
225.0, 1.0, 43.6, 234.8, 16.0, 5.0, 1.0
226.0, 1.0, 38.4, 200.4, 28.6, 5.0, 1.0
227.0, 1.0, 46.3, 244.9, 17.2, 5.0, 1.0
228.0, 1.0, 51.2, 241.3, 60.0, 5.0, 1.0
229.0, 1.0, 48.2, 238.9, 56.1, 5.0, 1.0
230.0, 1.0, 46.4, 236.1, 66.6, 5.0, 1.0
231.0, 1.0, 51.9, 242.6, 54.8, 5.0, 1.0
232.0, 1.0, 50.3, 247.5, 26.2, 5.0, 1.0
233.0, 1.0, 53.6, 251.3, 23.3, 5.0, 1.0
234.0, 1.0, 63.3, 256.1, 34.6, 5.0, 1.0
235.0, 1.0, 60.4, 248.9, 51.2, 5.0, 1.0
236.0, 1.0, 44.9, 234.0, 78.2, 5.0, 1.0
